"rank","business_name","telephone","business_page","category","website","rating","street","locality","region","zipcode","listing_url"
"1","The Four's Restaurant & Sports Bar","","https://www.yellowpages.ca/boston-ma/mip/the-fours-restaurant-sports-bar-2475158?lid=209428619","Restaurants,Caterers,Bars","http://www.thefours.com","","","","","","https://www.yellowpages.com/search?search_terms=restaurants&geo_location_terms=Boston,MA"
"2","No Name Restaurant","","https://www.yellowpages.ca/boston-ma/mip/no-name-restaurant-8648730?lid=1001715956847","Restaurants,Take Out Restaurants","http://nonamerestaurant.com","94","","","","","https://www.yellowpages.com/search?search_terms=restaurants&geo_location_terms=Boston,MA"
"3","Aria Trattoria","","https://www.yellowpages.ca/boston-ma/mip/aria-trattoria-480202715?lid=1000380204864","Restaurants,Italian Restaurants","http://arianorthend.com/menu/","","","","","","https://www.yellowpages.com/search?search_terms=restaurants&geo_location_terms=Boston,MA"
"4","The Four's Restaurant & Sports Bar","","https://www.yellowpages.ca/boston-ma/mip/the-fours-restaurant-sports-bar-460711092?lid=1000273712008","Restaurants,Bars,Recreation Centers","http://www.thefours.com","2","","","","","https://www.yellowpages.com/search?search_terms=restaurants&geo_location_terms=Boston,MA"
"5","B&G Oysters","","https://www.yellowpages.ca/boston-ma/mip/b-g-oysters-2650359","Restaurants,Seafood Restaurants","http://www.bandgoysters.com","31","","","","","https://www.yellowpages.com/search?search_terms=restaurants&geo_location_terms=Boston,MA"
"6","Morton's The Steakhouse","","https://www.yellowpages.ca/boston-ma/mip/mortons-the-steakhouse-22589061","Restaurants,Steak Houses","http://www.mortons.com","26","","","","","https://www.yellowpages.com/search?search_terms=restaurants&geo_location_terms=Boston,MA"
"7","Abe & Louie's","","https://www.yellowpages.ca/boston-ma/mip/abe-louies-2198151","Restaurants,Steak Houses","http://www.abeandlouies.com","2","","","","","https://www.yellowpages.com/search?search_terms=restaurants&geo_location_terms=Boston,MA"
"8","The Oceanaire Seafood Room","","https://www.yellowpages.ca/boston-ma/mip/the-oceanaire-seafood-room-455904020","Restaurants,Seafood Restaurants","http://www.theoceanaire.com/Locations/Boston/Locations.aspx","15","","","","","https://www.yellowpages.com/search?search_terms=restaurants&geo_location_terms=Boston,MA"
"9","Island Creek Oyster Bar","","https://www.yellowpages.ca/boston-ma/mip/island-creek-oyster-bar-460080280","Restaurants,Seafood Restaurants,Bars","http://www.islandcreekoysterbar.com","1","","","","","https://www.yellowpages.com/search?search_terms=restaurants&geo_location_terms=Boston,MA"
"10","Tremont 647","","https://www.yellowpages.ca/boston-ma/mip/tremont-647-5731916","Restaurants,American Restaurants","http://tremont647.com","41","","","","","https://www.yellowpages.com/search?search_terms=restaurants&geo_location_terms=Boston,MA"
"11","Joe's American Bar & Grill","","https://www.yellowpages.ca/boston-ma/mip/joes-american-bar-grill-1011023","Restaurants,American Restaurants,Bars","http://www.joesamerican.com","15","","","","","https://www.yellowpages.com/search?search_terms=restaurants&geo_location_terms=Boston,MA"
"12","Fire Ice Restaurant","","https://www.yellowpages.ca/boston-ma/mip/fire-ice-restaurant-7382808","Restaurants,Family Style Restaurants","http://www.fire-ice.com","10","","","","","https://www.yellowpages.com/search?search_terms=restaurants&geo_location_terms=Boston,MA"
